N,Method,Modality,Error
2000,hss,1,0.0180286815420315
2000,hss,2,0.0233143086538908
2000,hss,3,0.0024182174733487
2000,cca,1,0.0164426420586566
2000,cca,2,0.0231275752436259
2000,cca,3,0.0024724549831005
2000,wasserstein,1,0.0392769898637544
2000,wasserstein,2,0.0839629053647578
2000,wasserstein,3,0.0194016256590188
2500,hss,1,0.0163593551866789
2500,hss,2,0.0197343111407617
2500,hss,3,0.0018901948260491
2500,cca,1,0.0148849608849602
2500,cca,2,0.0190998265392709
2500,cca,3,0.0019069179305981
2500,wasserstein,1,0.0378789314109261
2500,wasserstein,2,0.0808784547827346
2500,wasserstein,3,0.0174993372551726
3000,hss,1,0.0150158846037713
3000,hss,2,0.0182613560666465
3000,hss,3,0.0017729411005312
3000,cca,1,0.0142496819889032
3000,cca,2,0.0188311271352217
3000,cca,3,0.001770749059243
3000,wasserstein,1,0.0372195192313108
3000,wasserstein,2,0.084151226820861
3000,wasserstein,3,0.0170765804753347
3500,hss,1,0.0139370943417643
3500,hss,2,0.0175455629132672
3500,hss,3,0.0015489858919135
3500,cca,1,0.0160798615616002
3500,cca,2,0.0197712993914068
3500,cca,3,0.0015522753063196
3500,wasserstein,1,0.0362031033855156
3500,wasserstein,2,0.0810126797726037
3500,wasserstein,3,0.0169046642685205
4000,hss,1,0.0174884537142844
4000,hss,2,0.0200361722784872
4000,hss,3,0.0014967349087025
4000,cca,1,0.0136002774597088
4000,cca,2,0.0173177970014157
4000,cca,3,0.0015134314950155
4000,wasserstein,1,0.0393641114006866
4000,wasserstein,2,0.0820394867098366
4000,wasserstein,3,0.0156183225962899
