N,rho,Clustering_Status,Modality,Error
2000,0.8,clustered,3,0.002671959090551
2000,0.8,distinct,3,0.0026340220299772
2000,0.85,clustered,3,0.0014605787743284
2000,0.85,distinct,3,0.0014828834534903
2000,0.9,clustered,3,0.002043210682548
2000,0.9,distinct,3,0.0020323445555306
2000,0.95,clustered,3,0.002391737126836
2000,0.95,distinct,3,0.0023878272499497
2000,1.0,clustered,3,0.0015800683687773
2000,1.0,distinct,3,0.0016259478982313
2500,0.8,clustered,3,0.0017080510175658
2500,0.8,distinct,3,0.0017210904234907
2500,0.85,clustered,3,0.0018489893109939
2500,0.85,distinct,3,0.0018540181050281
2500,0.9,clustered,3,0.0015409239851088
2500,0.9,distinct,3,0.0015587543193483
2500,0.95,clustered,3,0.0016296702273353
2500,0.95,distinct,3,0.0016259232344931
2500,1.0,clustered,3,0.0019110170092392
2500,1.0,distinct,3,0.0019222549393135
3000,0.8,clustered,3,0.0014524457564649
3000,0.8,distinct,3,0.0014412000486693
3000,0.85,clustered,3,0.001606911171269
3000,0.85,distinct,3,0.001612167095286
3000,0.9,clustered,3,0.0013271402351338
3000,0.9,distinct,3,0.0013172146419476
3000,0.95,clustered,3,0.0017640820689641
3000,0.95,distinct,3,0.0017503891367617
3000,1.0,clustered,3,0.0015823544746455
3000,1.0,distinct,3,0.0015994919030315
3500,0.8,clustered,3,0.0013369963877254
3500,0.8,distinct,3,0.0013468015554633
3500,0.85,clustered,3,0.0017330436310546
3500,0.85,distinct,3,0.0017515939252481
3500,0.9,clustered,3,0.0019297398212298
3500,0.9,distinct,3,0.0019657588566791
3500,0.95,clustered,3,0.0017092945086929
3500,0.95,distinct,3,0.0017224266999308
3500,1.0,clustered,3,0.0019444675405582
3500,1.0,distinct,3,0.0019787761363074
4000,0.8,clustered,3,0.0017960899212624
4000,0.8,distinct,3,0.0017779517498039
4000,0.85,clustered,3,0.0013775469930953
4000,0.85,distinct,3,0.0013400674109287
4000,0.9,clustered,3,0.0017046446242383
4000,0.9,distinct,3,0.0017100743212997
4000,0.95,clustered,3,0.0015328432273498
4000,0.95,distinct,3,0.0015575843415654
4000,1.0,clustered,3,0.0016427483974397
4000,1.0,distinct,3,0.0016474042612628
