rho,Method,Modality,Error
0.8,clustered,1,0.0408026274930742
0.8,clustered,2,0.17942396276092107
0.8,clustered,3,0.0014524457564649615
0.8,distinct,1,0.039627912398933915
0.8,distinct,2,0.19472625221613615
0.8,distinct,3,0.0014412000486693159
0.85,clustered,1,0.037134269198436314
0.85,clustered,2,0.18616479136414743
0.85,clustered,3,0.001606911171269082
0.85,distinct,1,0.03720829207147578
0.85,distinct,2,0.2245602438405199
0.85,distinct,3,0.0016121670952860627
0.9,clustered,1,0.029063395031280696
0.9,clustered,2,0.1758036285087626
0.9,clustered,3,0.001327140235133803
0.9,distinct,1,0.039008697096760955
0.9,distinct,2,0.23031002352021943
0.9,distinct,3,0.0013172146419476599
0.95,clustered,1,0.020870051985387984
0.95,clustered,2,0.133029553433961
0.95,clustered,3,0.0017640820689641225
0.95,distinct,1,0.03914626802017403
0.95,distinct,2,0.18870906557834735
0.95,distinct,3,0.0017503891367617794
1.0,clustered,1,0.014686134840390575
1.0,clustered,2,0.019532762090583522
1.0,clustered,3,0.0015823544746455059
1.0,distinct,1,0.038857093317988756
1.0,distinct,2,0.04495253847012003
1.0,distinct,3,0.0015994919030315516
