Modality,rho,n,Method,log_rec_error
1,0.85,2000,clustered,-4.054713905267079
2,0.85,2000,clustered,-3.8795556037031744
3,0.85,2000,clustered,-6.354332184735091
1,0.85,2000,distinct,-3.236875902052177
2,0.85,2000,distinct,-3.0884386473854866
3,0.85,2000,distinct,-6.35852801344236
1,0.85,2000,ajive,-1.2505897271648723
2,0.85,2000,ajive,-1.0039037855722859
3,0.85,2000,ajive,-1.8728417142960005
1,0.85,2000,mcca,-1.2357658677634318
2,0.85,2000,mcca,-0.9918062599092137
3,0.85,2000,mcca,-1.8728466033539544
1,0.85,2000,gcca,-1.2506007323650643
2,0.85,2000,gcca,-1.003905364420088
3,0.85,2000,gcca,-1.8728480618778627
1,0.85,2000,disco,-1.2505913308659349
2,0.85,2000,disco,-1.003902841609216
3,0.85,2000,disco,-1.872841195999391
1,0.85,2000,mfa,-1.3910458090755016
2,0.85,2000,mfa,-1.1878114950085998
3,0.85,2000,mfa,-1.867356401111558
1,0.85,2000,hpca,-1.2493167102178238
2,0.85,2000,hpca,-0.9888277844768613
3,0.85,2000,hpca,-1.867484906729152
1,0.85,2500,clustered,-4.168747950382511
2,0.85,2500,clustered,-3.9881307909692425
3,0.85,2500,clustered,-6.133699817765396
1,0.85,2500,distinct,-3.224933883674681
2,0.85,2500,distinct,-3.042660925773044
3,0.85,2500,distinct,-6.121674673295577
1,0.85,2500,ajive,-1.2463640306806654
2,0.85,2500,ajive,-1.0059458004450788
3,0.85,2500,ajive,-1.8764384285815832
1,0.85,2500,mcca,-1.2299282077592861
2,0.85,2500,mcca,-0.9935715115914123
3,0.85,2500,mcca,-1.8764369825057792
1,0.85,2500,gcca,-1.2463726361209801
2,0.85,2500,gcca,-1.005946816428289
3,0.85,2500,gcca,-1.8764416026466721
1,0.85,2500,disco,-1.246358809238101
2,0.85,2500,disco,-1.0059386616469412
3,0.85,2500,disco,-1.8764364236225888
1,0.85,2500,mfa,-1.405868101690441
2,0.85,2500,mfa,-1.2009226786209586
3,0.85,2500,mfa,-1.8725728990674289
1,0.85,2500,hpca,-1.2443251307669347
2,0.85,2500,hpca,-0.994753658275727
3,0.85,2500,hpca,-1.8726727845819615
1,0.85,3000,clustered,-4.175463401388286
2,0.85,3000,clustered,-3.960103329494299
3,0.85,3000,clustered,-6.48953616517214
1,0.85,3000,distinct,-3.2821146012814615
2,0.85,3000,distinct,-3.099495575908057
3,0.85,3000,distinct,-6.4627619723358345
1,0.85,3000,ajive,-1.254291610537278
2,0.85,3000,ajive,-1.008238308702502
3,0.85,3000,ajive,-1.873218392074433
1,0.85,3000,mcca,-1.2391590736528468
2,0.85,3000,mcca,-0.9957529516683482
3,0.85,3000,mcca,-1.8732016391137125
1,0.85,3000,gcca,-1.2542992290388792
2,0.85,3000,gcca,-1.008239188679953
3,0.85,3000,gcca,-1.8732206654763661
1,0.85,3000,disco,-1.2542986439605572
2,0.85,3000,disco,-1.008249610302514
3,0.85,3000,disco,-1.873219319961944
1,0.85,3000,mfa,-1.4200335226516492
2,0.85,3000,mfa,-1.1941916819331233
3,0.85,3000,mfa,-1.8685002151064647
1,0.85,3000,hpca,-1.253275178987031
2,0.85,3000,hpca,-0.997257273098398
3,0.85,3000,hpca,-1.869228967753146
1,0.85,3500,clustered,-4.182739799448472
2,0.85,3500,clustered,-4.0827296419771235
3,0.85,3500,clustered,-6.433995709467435
1,0.85,3500,distinct,-3.2921963144357864
2,0.85,3500,distinct,-3.1463035118057907
3,0.85,3500,distinct,-6.43249772470195
1,0.85,3500,ajive,-1.2501479949674126
2,0.85,3500,ajive,-1.0104024674020597
3,0.85,3500,ajive,-1.8711288449350845
1,0.85,3500,mcca,-1.2342517561469324
2,0.85,3500,mcca,-0.9981449635399198
3,0.85,3500,mcca,-1.8711307967592399
1,0.85,3500,gcca,-1.2501519447763754
2,0.85,3500,gcca,-1.010402996313147
3,0.85,3500,gcca,-1.8711308108216886
1,0.85,3500,disco,-1.250148511959589
2,0.85,3500,disco,-1.0104018447475034
3,0.85,3500,disco,-1.8711263507773828
1,0.85,3500,mfa,-1.4488055790440322
2,0.85,3500,mfa,-1.2308071921641626
3,0.85,3500,mfa,-1.8669611755588071
1,0.85,3500,hpca,-1.2483392733178695
2,0.85,3500,hpca,-1.0002202992539446
3,0.85,3500,hpca,-1.867172584079279
1,0.85,4000,clustered,-4.212444624775705
