rho,Method,Modality,Error
1.0,clustered,1,0.013832894381421483
1.0,clustered,2,0.018558687440448144
1.0,clustered,3,0.0018845843007553806
1.0,distinct,1,0.037116435574319415
1.0,distinct,2,0.04636828426331153
1.0,distinct,3,0.001865175671258552
1.0,ajive,1,0.28448273896881543
1.0,ajive,2,0.36739755129514395
1.0,ajive,3,0.15427164440530067
1.0,mcca,1,0.288734563347438
1.0,mcca,2,0.37183261929417044
1.0,mcca,3,0.15427223169826473
1.0,gcca,1,0.2844804019400969
1.0,gcca,2,0.3673971738495048
1.0,gcca,3,0.15427106996512283
1.0,disco,1,0.2844868755473465
1.0,disco,2,0.3673969089614172
1.0,disco,3,0.15427159134162943
1.0,mfa,1,0.2396640207555321
1.0,mfa,2,0.29979851142482944
1.0,mfa,3,0.1549625589798157
1.0,hpca,1,0.28518428053987904
1.0,hpca,2,0.37149837569712946
1.0,hpca,3,0.1548954240814298
